Date,Timestamp,Phase,Heart_Rate_bpm,Breathing_Rate_bpm,Body_Temperature_C,Pressure_Index,Movement_Count,Sleep_Duration_hr,Deep_Sleep_pct,REM_Sleep_pct,Light_Sleep_pct,Sleep_Disturbances,Sleep_Quality_Score
2026-07-02,2026-07-03 02:10:00,Before,67.0,16.1,36.88,35.0,1,5.7,18.7,22.2,59.1,5,62.4
2026-07-02,2026-07-03 02:30:00,Before,65.9,14.8,36.48,40.7,1,5.95,12.0,19.4,68.6,5,33.3
2026-07-02,2026-07-03 02:50:00,Before,66.6,15.6,36.73,58.8,3,6.58,14.8,17.8,67.4,6,47.1
2026-07-02,2026-07-03 03:10:00,Before,62.7,19.1,36.52,42.4,1,5.21,20.0,17.0,63.0,5,52.3
2026-07-02,2026-07-03 03:30:00,Before,63.6,15.6,36.98,25.9,2,5.91,13.2,25.1,61.7,6,47.5
2026-07-02,2026-07-03 03:50:00,Before,72.2,15.6,36.38,61.7,2,6.44,21.9,16.1,62.0,3,61.3
2026-07-02,2026-07-03 04:10:00,Before,67.1,15.7,36.51,45.9,1,6.03,15.6,17.5,66.9,4,33.6
2026-07-02,2026-07-03 04:30:00,Before,69.4,16.1,36.58,50.1,2,6.32,17.3,22.3,60.4,3,57.9
2026-07-02,2026-07-03 04:50:00,Before,64.7,16.4,36.41,31.8,2,5.51,19.8,16.6,63.6,5,66.6
2026-07-02,2026-07-03 05:10:00,Before,61.4,15.3,36.5,42.6,5,6.54,17.6,20.3,62.1,6,61.8
2026-07-02,2026-07-03 05:30:00,Before,66.6,15.7,36.45,53.3,1,6.44,20.6,13.4,66.0,5,49.8
2026-07-02,2026-07-03 05:50:00,Before,70.3,15.1,36.93,41.9,3,5.2,16.2,22.5,61.4,6,44.7
2026-07-02,2026-07-03 06:10:00,Before,63.9,15.9,36.64,53.1,2,6.48,24.9,20.5,54.5,5,48.7
2026-07-02,2026-07-03 06:30:00,Before,64.0,16.7,36.39,48.6,4,5.99,21.5,18.7,59.8,4,47.1
2026-07-03,2026-07-03 22:30:00,Before,70.4,17.0,36.95,57.1,3,6.28,19.9,17.3,62.7,2,56.6
2026-07-03,2026-07-03 22:50:00,Before,76.3,15.2,36.61,64.0,4,6.47,22.6,18.5,59.0,4,52.4
2026-07-03,2026-07-03 23:10:00,Before,67.2,17.1,36.18,61.8,1,5.74,11.2,22.5,66.3,5,39.2
2026-07-03,2026-07-03 23:30:00,Before,62.5,15.0,37.02,45.7,1,5.52,8.0,19.8,72.2,5,52.0
2026-07-03,2026-07-03 23:50:00,Before,73.5,17.2,36.53,38.0,3,6.21,16.9,20.6,62.5,5,46.5
2026-07-03,2026-07-04 00:10:00,Before,65.1,15.5,36.46,41.6,4,6.25,12.9,20.6,66.5,5,49.0
2026-07-03,2026-07-04 00:30:00,Before,66.5,16.3,36.81,36.1,1,6.42,14.3,19.7,66.0,5,46.7
2026-07-03,2026-07-04 00:50:00,Before,64.5,15.6,36.57,52.5,1,5.73,19.8,17.2,63.0,5,49.9
2026-07-03,2026-07-04 01:10:00,Before,72.8,14.0,36.44,39.6,1,5.45,23.2,16.3,60.5,4,57.5
2026-07-03,2026-07-04 01:30:00,Before,60.9,16.6,36.25,59.2,4,5.22,16.9,23.3,59.8,5,46.7
2026-07-03,2026-07-04 01:50:00,Before,65.7,15.4,36.68,32.6,2,5.62,17.4,15.1,67.5,6,60.1
2026-07-03,2026-07-04 02:10:00,Before,69.5,14.8,36.73,62.6,4,6.91,14.8,20.1,65.1,6,47.5
2026-07-03,2026-07-04 02:30:00,Before,67.7,14.4,36.45,35.3,3,5.77,26.2,21.5,52.3,5,42.4
2026-07-03,2026-07-04 02:50:00,Before,69.5,14.6,36.63,71.0,2,6.16,17.6,19.0,63.4,8,45.5
2026-07-03,2026-07-04 03:10:00,Before,61.5,14.9,36.72,52.8,3,5.61,16.2,23.2,60.6,5,53.2
2026-07-03,2026-07-04 03:30:00,Before,69.2,17.4,36.87,43.9,4,6.48,18.5,20.6,60.9,5,43.0
2026-07-03,2026-07-04 03:50:00,Before,63.2,17.1,36.59,54.1,4,5.57,18.8,16.9,64.4,7,42.5
2026-07-03,2026-07-04 04:10:00,Before,67.5,16.1,36.12,42.1,4,6.67,17.3,23.2,59.5,4,64.2
2026-07-03,2026-07-04 04:30:00,Before,75.0,15.0,36.49,61.1,3,5.59,13.8,17.0,69.2,4,48.7
2026-07-03,2026-07-04 04:50:00,Before,67.8,17.8,36.35,56.9,5,6.1,17.6,21.5,60.9,5,67.2
2026-07-03,2026-07-04 05:10:00,Before,64.8,14.7,36.44,43.0,2,6.03,12.9,22.4,64.7,6,50.6
2026-07-03,2026-07-04 05:30:00,Before,65.7,14.4,36.42,69.2,3,6.62,18.9,23.3,57.8,4,54.8
2026-07-03,2026-07-04 05:50:00,Before,60.9,13.6,36.82,39.4,1,6.51,13.3,10.0,76.7,4,62.0
2026-07-03,2026-07-04 06:10:00,Before,68.2,17.5,36.32,33.2,11,6.41,15.7,17.5,66.8,4,56.5
2026-07-03,2026-07-04 06:30:00,Before,68.5,16.1,36.54,48.0,4,6.49,24.6,19.1,56.4,5,53.7
2026-07-04,2026-07-04 22:30:00,Before,72.5,15.4,36.67,53.5,3,6.28,20.8,16.9,62.3,5,46.0
2026-07-04,2026-07-04 22:50:00,Before,71.2,13.2,36.46,51.4,1,6.9,16.8,18.3,64.9,7,40.9
2026-07-04,2026-07-04 23:10:00,Before,59.3,16.2,36.47,38.8,2,6.52,16.2,16.6,67.2,5,56.5
2026-07-04,2026-07-04 23:30:00,Before,62.7,18.0,36.82,46.1,2,5.64,22.1,19.8,58.2,6,48.6
2026-07-04,2026-07-04 23:50:00,Before,68.6,16.4,36.71,53.8,1,6.8,17.7,22.1,60.2,5,63.6
2026-07-04,2026-07-05 00:10:00,Before,64.6,18.2,36.59,35.1,1,6.58,14.7,18.7,66.6,3,52.2
2026-07-04,2026-07-05 00:30:00,Before,58.5,13.1,36.79,55.1,1,6.39,13.6,19.9,66.5,5,43.3
2026-07-04,2026-07-05 00:50:00,Before,72.3,16.8,36.54,48.2,2,6.08,16.7,19.5,63.8,4,52.8
2026-07-04,2026-07-05 01:10:00,Before,63.3,17.0,36.76,43.6,3,6.0,23.3,21.1,55.6,6,52.8
2026-07-04,2026-07-05 01:30:00,Before,65.0,17.1,36.63,56.6,5,5.74,15.1,21.9,63.0,6,67.4
2026-07-04,2026-07-05 01:50:00,Before,66.7,14.1,36.79,37.8,2,6.45,16.1,15.0,68.9,6,54.8
2026-07-04,2026-07-05 02:10:00,Before,65.3,17.9,36.29,34.8,1,6.3,20.7,25.1,54.3,4,60.1
2026-07-04,2026-07-05 02:30:00,Before,66.9,15.2,36.82,53.9,5,5.49,18.7,20.8,60.5,4,43.8
2026-07-04,2026-07-05 02:50:00,Before,66.9,17.3,36.74,44.7,4,6.37,16.7,22.4,60.9,3,62.1
2026-07-04,2026-07-05 03:10:00,Before,64.5,13.2,36.53,29.1,4,6.31,15.8,19.0,65.3,5,65.6
2026-07-04,2026-07-05 03:30:00,Before,68.3,16.1,36.86,50.1,1,6.17,16.9,22.2,60.9,5,55.5
2026-07-04,2026-07-05 03:50:00,Before,66.7,15.6,36.1,56.2,4,6.36,13.7,21.9,64.4,5,46.7
2026-07-04,2026-07-05 04:10:00,Before,70.8,15.3,36.74,39.7,7,6.29,18.6,16.8,64.7,6,41.8
2026-07-04,2026-07-05 04:30:00,Before,72.7,14.3,36.67,57.0,5,6.09,20.7,21.7,57.6,6,52.9
2026-07-04,2026-07-05 04:50:00,Before,71.5,15.1,36.63,38.7,0,5.71,12.0,24.8,63.3,4,42.6
2026-07-04,2026-07-05 05:10:00,Before,59.5,14.5,36.27,62.8,5,6.65,12.1,15.1,72.8,6,68.4
2026-07-04,2026-07-05 05:30:00,Before,71.8,16.3,36.75,55.7,1,6.54,18.0,20.3,61.7,5,46.9
2026-07-04,2026-07-05 05:50:00,Before,66.0,13.0,36.58,39.1,5,5.7,13.6,19.3,67.1,6,39.7
2026-07-04,2026-07-05 06:10:00,Before,67.4,13.5,36.45,50.9,5,6.26,15.5,20.4,64.1,6,49.6
2026-07-04,2026-07-05 06:30:00,Before,67.1,14.4,36.43,35.4,5,6.99,16.0,23.7,60.3,4,57.9
2026-07-05,2026-07-05 22:30:00,Before,64.1,18.7,36.3,50.8,3,6.22,16.5,22.9,60.6,8,42.2
2026-07-05,2026-07-05 22:50:00,Before,62.2,15.4,37.24,40.8,4,6.94,18.1,18.4,63.5,3,61.1
2026-07-05,2026-07-05 23:10:00,Before,63.1,14.4,36.45,46.2,1,5.92,19.5,23.1,57.5,5,52.3
2026-07-05,2026-07-05 23:30:00,Before,74.4,13.7,36.29,54.3,2,7.08,19.0,20.2,60.8,6,46.9
2026-07-05,2026-07-05 23:50:00,Before,67.6,13.4,36.57,39.9,5,5.71,15.9,23.6,60.5,5,64.3
2026-07-05,2026-07-06 00:10:00,Before,68.4,15.8,36.52,49.2,2,6.13,13.3,17.3,69.4,4,50.0
2026-07-05,2026-07-06 00:30:00,Before,67.3,16.6,36.39,33.6,7,6.0,21.1,21.7,57.2,6,44.5
2026-07-05,2026-07-06 00:50:00,Before,66.2,13.7,36.51,38.7,6,6.79,21.9,21.7,56.5,5,44.3
2026-07-05,2026-07-06 01:10:00,Before,63.3,15.0,36.45,46.3,0,6.43,17.2,14.6,68.2,4,32.9
2026-07-05,2026-07-06 01:30:00,Before,68.0,15.9,36.4,52.9,2,5.62,16.3,24.5,59.3,5,45.3
2026-07-05,2026-07-06 01:50:00,Before,64.9,15.0,36.5,49.5,6,5.73,16.3,19.6,64.1,6,43.1
2026-07-05,2026-07-06 02:10:00,Before,62.9,17.3,36.52,55.9,0,6.54,15.0,12.2,72.8,4,56.5
2026-07-05,2026-07-06 02:30:00,Before,61.8,15.8,36.6,53.2,2,5.66,16.9,23.5,59.6,4,33.2
2026-07-05,2026-07-06 02:50:00,Before,65.4,14.2,36.03,50.6,5,6.29,16.7,22.8,60.5,7,56.5
2026-07-05,2026-07-06 03:10:00,Before,68.0,16.7,36.44,49.5,3,6.1,17.3,20.7,62.0,4,45.9
2026-07-05,2026-07-06 03:30:00,Before,71.5,14.0,36.27,54.1,1,6.72,18.0,17.9,64.1,4,60.8
2026-07-05,2026-07-06 03:50:00,Before,69.1,17.5,36.29,43.5,3,5.94,17.1,24.4,58.5,7,51.4
2026-07-05,2026-07-06 04:10:00,Before,69.1,14.2,36.69,53.0,2,6.11,24.2,16.7,59.1,5,48.1
2026-07-05,2026-07-06 04:30:00,Before,68.1,16.7,36.82,42.8,7,6.5,21.1,20.5,58.3,3,57.8
2026-07-05,2026-07-06 04:50:00,Before,64.7,14.7,36.75,59.1,4,6.21,23.3,21.9,54.8,5,56.8
2026-07-05,2026-07-06 05:10:00,Before,64.8,16.2,36.54,47.8,3,6.78,15.5,20.8,63.7,3,61.4
2026-07-05,2026-07-06 05:30:00,Before,72.1,14.7,36.32,50.5,0,6.85,14.3,21.9,63.8,5,56.7
2026-07-05,2026-07-06 05:50:00,Before,63.9,14.8,36.78,44.6,6,6.96,14.4,23.5,62.1,4,57.1
2026-07-05,2026-07-06 06:10:00,Before,64.1,18.8,36.53,49.1,5,5.89,17.0,23.9,59.1,6,42.9
2026-07-05,2026-07-06 06:30:00,Before,70.3,16.5,35.91,55.2,2,6.16,16.6,24.5,58.9,6,41.6
2026-07-06,2026-07-06 22:30:00,Before,73.5,17.3,36.75,46.0,4,5.77,12.1,16.5,71.5,4,55.2
2026-07-06,2026-07-06 22:50:00,Before,60.4,15.8,36.86,46.2,4,6.19,23.2,25.0,51.8,4,47.7
2026-07-06,2026-07-06 23:10:00,Before,68.6,14.0,36.68,54.9,2,6.75,13.6,17.3,69.1,5,51.7
2026-07-06,2026-07-06 23:30:00,Before,64.1,14.1,36.52,62.1,2,5.11,20.1,22.2,57.7,5,45.5
2026-07-06,2026-07-06 23:50:00,Before,68.8,13.2,36.47,55.1,4,5.64,14.2,19.1,66.8,4,45.4
2026-07-06,2026-07-07 00:10:00,Before,69.2,14.8,36.85,72.0,3,6.37,23.3,19.8,56.9,4,44.0
2026-07-06,2026-07-07 00:30:00,Before,66.8,14.8,37.1,63.9,1,5.73,21.9,20.2,57.9,4,49.3
2026-07-06,2026-07-07 00:50:00,Before,64.8,16.4,36.42,43.4,3,6.04,18.8,21.0,60.3,5,49.3
2026-07-06,2026-07-07 01:10:00,Before,64.4,15.6,36.82,39.2,5,6.2,10.6,20.6,68.8,5,60.1
2026-07-06,2026-07-07 01:30:00,Before,71.2,16.3,36.79,46.3,4,6.05,15.6,17.1,67.3,6,62.7
2026-07-06,2026-07-07 01:50:00,Before,63.3,15.5,36.95,47.3,5,6.4,21.2,27.8,51.1,6,52.3
2026-07-06,2026-07-07 02:10:00,Before,67.7,15.0,36.68,45.3,5,5.25,14.9,23.9,61.2,5,38.7
2026-07-06,2026-07-07 02:30:00,Before,65.2,16.8,36.74,45.8,2,6.03,19.7,23.8,56.6,3,61.4
2026-07-06,2026-07-07 02:50:00,Before,66.6,17.3,36.61,49.2,2,5.99,17.7,20.8,61.4,5,53.6
2026-07-06,2026-07-07 03:10:00,Before,65.3,16.8,36.26,49.1,2,7.07,20.6,16.0,63.3,6,58.0
2026-07-06,2026-07-07 03:30:00,Before,62.8,16.8,36.67,53.9,2,6.7,16.6,13.5,69.9,6,47.7
2026-07-06,2026-07-07 03:50:00,Before,66.7,16.0,36.65,54.4,4,6.0,20.1,18.4,61.5,6,45.3
2026-07-06,2026-07-07 04:10:00,Before,68.2,14.5,36.37,48.8,1,5.35,16.0,15.2,68.9,6,52.1
2026-07-06,2026-07-07 04:30:00,Before,64.0,16.1,36.82,56.1,1,6.3,19.6,18.1,62.4,5,47.7
2026-07-06,2026-07-07 04:50:00,Before,64.4,15.6,36.69,58.5,1,6.32,19.2,22.0,58.8,8,33.9
2026-07-06,2026-07-07 05:10:00,Before,64.6,17.7,36.51,56.0,5,6.3,13.6,20.1,66.3,5,34.2
2026-07-06,2026-07-07 05:30:00,Before,68.5,15.7,36.97,53.5,2,5.87,12.4,18.2,69.5,5,45.8
2026-07-06,2026-07-07 05:50:00,Before,64.6,13.4,36.58,34.5,2,6.54,20.8,18.3,60.9,6,69.8
2026-07-06,2026-07-07 06:10:00,Before,68.3,15.2,36.41,46.3,2,6.68,17.1,25.7,57.2,5,48.0
2026-07-06,2026-07-07 06:30:00,Before,61.7,12.8,36.2,50.4,5,6.43,15.3,20.4,64.3,7,54.9
2026-07-07,2026-07-07 22:30:00,Before,66.1,14.2,36.06,41.5,2,6.43,16.4,23.7,59.9,7,56.9
2026-07-07,2026-07-07 22:50:00,Before,60.9,15.8,36.79,51.4,2,6.49,13.0,20.3,66.7,5,50.5
2026-07-07,2026-07-07 23:10:00,Before,66.6,12.7,36.46,48.8,2,6.58,21.5,21.4,57.1,6,63.8
2026-07-07,2026-07-07 23:30:00,Before,64.4,14.1,36.33,45.6,7,6.85,22.5,22.3,55.1,4,65.6
2026-07-07,2026-07-07 23:50:00,Before,66.1,13.7,36.36,44.1,0,6.79,21.9,18.3,59.8,5,41.7
2026-07-07,2026-07-08 00:10:00,Before,64.2,16.9,37.0,36.9,4,5.93,17.0,18.6,64.4,5,52.0
2026-07-07,2026-07-08 00:30:00,Before,63.2,15.0,36.15,44.8,3,6.31,20.2,15.4,64.5,3,57.7
2026-07-07,2026-07-08 00:50:00,Before,59.9,15.8,36.3,62.2,3,6.31,12.6,17.4,70.0,5,54.5
2026-07-07,2026-07-08 01:10:00,Before,70.4,12.8,36.56,38.0,6,5.65,18.7,18.6,62.7,5,66.2
2026-07-07,2026-07-08 01:30:00,Before,61.7,15.9,36.72,57.8,2,6.24,14.7,22.6,62.7,5,42.5
2026-07-07,2026-07-08 01:50:00,Before,67.0,16.1,36.66,57.4,2,5.93,21.8,13.6,64.6,9,50.6
2026-07-07,2026-07-08 02:10:00,Before,67.8,15.4,36.67,52.7,3,6.49,16.3,23.4,60.3,6,30.0
2026-07-07,2026-07-08 02:30:00,Before,69.3,15.8,36.6,44.5,4,6.72,15.1,17.3,67.5,4,50.8
2026-07-07,2026-07-08 02:50:00,Before,70.0,16.3,36.78,51.8,5,5.93,14.1,19.9,65.9,3,40.7
2026-07-07,2026-07-08 03:10:00,Before,66.3,14.7,36.63,46.8,3,5.99,16.2,24.4,59.4,5,48.2
2026-07-07,2026-07-08 03:30:00,Before,67.3,15.3,36.42,39.0,5,5.86,11.6,19.6,68.8,5,48.9
2026-07-07,2026-07-08 03:50:00,Before,61.2,17.3,36.39,51.0,5,5.7,19.7,22.5,57.7,6,48.2
2026-07-07,2026-07-08 04:10:00,Before,71.8,13.8,36.62,41.4,2,6.6,15.2,20.5,64.4,4,61.8
2026-07-07,2026-07-08 04:30:00,Before,67.0,15.5,36.52,49.4,1,6.57,14.0,18.0,68.0,5,42.9
2026-07-07,2026-07-08 04:50:00,Before,64.1,14.8,36.82,50.4,4,6.29,16.8,25.9,57.3,7,38.6
2026-07-07,2026-07-08 05:10:00,Before,68.8,14.3,36.65,48.6,4,6.48,21.2,19.6,59.2,4,53.4
2026-07-07,2026-07-08 05:30:00,Before,69.1,13.3,36.03,43.0,1,5.65,15.4,24.4,60.2,5,49.9
2026-07-07,2026-07-08 05:50:00,Before,69.2,13.8,36.86,47.3,3,6.37,13.8,17.4,68.8,6,41.5
2026-07-07,2026-07-08 06:10:00,Before,72.7,14.1,36.76,45.0,1,6.47,17.1,17.0,65.9,6,46.8
2026-07-07,2026-07-08 06:30:00,Before,66.2,14.0,35.96,46.3,2,6.44,16.9,26.1,57.1,5,59.1
2026-07-08,2026-07-08 22:30:00,Before,64.5,15.7,36.99,45.9,1,6.29,20.4,17.8,61.8,2,57.2
2026-07-08,2026-07-08 22:50:00,Before,70.5,13.5,36.77,54.1,3,5.87,14.2,25.0,60.8,5,44.0
2026-07-08,2026-07-08 23:10:00,Before,66.9,16.3,36.61,46.1,2,5.91,21.5,21.7,56.8,4,52.3
2026-07-08,2026-07-08 23:30:00,Before,68.7,17.2,37.0,38.9,3,6.64,16.7,19.0,64.2,5,46.9
2026-07-08,2026-07-08 23:50:00,Before,74.3,13.1,36.65,66.2,1,6.2,16.4,24.1,59.5,2,65.7
2026-07-08,2026-07-09 00:10:00,Before,62.0,15.1,36.49,53.3,7,7.11,12.2,20.6,67.2,4,59.5
2026-07-08,2026-07-09 00:30:00,Before,67.1,14.5,36.72,64.2,3,6.11,22.2,21.1,56.7,5,50.1
2026-07-08,2026-07-09 00:50:00,Before,62.6,16.4,36.82,43.9,2,6.19,15.3,17.6,67.1,5,45.1
2026-07-08,2026-07-09 01:10:00,Before,61.5,13.5,36.2,50.2,4,6.27,10.1,22.7,67.2,3,59.0
2026-07-08,2026-07-09 01:30:00,Before,67.0,14.1,36.5,54.2,6,6.55,16.0,24.2,59.8,4,51.2
2026-07-08,2026-07-09 01:50:00,Before,54.8,16.1,36.27,43.0,2,5.74,8.0,20.6,71.4,6,49.5
2026-07-08,2026-07-09 02:10:00,Before,71.3,13.9,36.77,58.7,3,5.97,16.7,21.0,62.2,4,46.1
2026-07-08,2026-07-09 02:30:00,Before,67.1,13.9,36.33,54.1,4,5.68,20.0,21.7,58.2,4,41.5
2026-07-08,2026-07-09 02:50:00,Before,72.1,12.9,36.45,50.1,4,6.49,11.7,23.2,65.1,4,50.8
2026-07-08,2026-07-09 03:10:00,Before,67.9,18.5,37.38,53.5,8,6.12,15.1,21.6,63.3,3,44.5
2026-07-08,2026-07-09 03:30:00,Before,70.7,16.9,36.76,48.8,2,6.51,20.0,19.1,60.9,5,41.4
2026-07-08,2026-07-09 03:50:00,Before,65.8,16.8,36.74,52.5,1,6.22,19.4,21.3,59.3,6,45.4
2026-07-08,2026-07-09 04:10:00,Before,59.5,17.1,36.48,40.2,4,6.7,23.8,20.2,56.0,4,47.5
2026-07-08,2026-07-09 04:30:00,Before,63.1,17.4,36.22,59.0,1,5.81,14.5,22.8,62.7,7,40.9
2026-07-08,2026-07-09 04:50:00,Before,65.5,15.3,36.74,46.6,4,6.01,17.9,17.1,65.0,4,53.5
2026-07-08,2026-07-09 05:10:00,Before,66.8,15.5,36.41,45.9,4,5.78,14.1,18.0,67.9,3,50.5
2026-07-08,2026-07-09 05:30:00,Before,70.3,13.6,36.62,51.6,1,6.16,17.6,20.6,61.8,4,62.3
2026-07-08,2026-07-09 05:50:00,Before,71.4,17.3,36.85,33.8,4,6.62,18.9,21.0,60.0,6,41.8
2026-07-08,2026-07-09 06:10:00,Before,70.7,17.3,36.54,47.6,4,6.03,18.5,17.4,64.1,5,51.8
2026-07-08,2026-07-09 06:30:00,Before,67.7,13.1,36.49,63.1,0,5.98,23.1,24.1,52.7,3,57.2
2026-07-09,2026-07-09 22:30:00,Before,65.2,15.9,36.67,45.9,1,5.85,14.6,17.3,68.2,4,49.8
2026-07-09,2026-07-09 22:50:00,Before,64.5,16.5,36.97,42.8,7,6.31,20.0,22.7,57.3,4,52.8
2026-07-09,2026-07-09 23:10:00,Before,69.4,15.2,36.87,69.3,5,5.6,19.4,18.2,62.4,7,58.4
2026-07-09,2026-07-09 23:30:00,Before,64.3,14.7,36.81,44.5,2,6.18,19.8,20.0,60.3,5,47.8
2026-07-09,2026-07-09 23:50:00,Before,73.1,14.0,36.43,43.6,1,6.44,13.4,20.4,66.2,5,46.9
2026-07-09,2026-07-10 00:10:00,Before,68.2,14.0,36.32,48.9,5,5.45,13.0,15.9,71.1,6,45.3
2026-07-09,2026-07-10 00:30:00,Before,70.7,12.3,36.25,48.1,7,5.76,18.9,16.9,64.2,6,47.6
2026-07-09,2026-07-10 00:50:00,Before,73.1,15.1,36.71,41.0,3,6.07,16.5,18.2,65.3,4,46.5
2026-07-09,2026-07-10 01:10:00,Before,67.4,16.2,36.08,60.7,4,5.01,17.0,21.0,62.0,6,36.0
2026-07-09,2026-07-10 01:30:00,Before,67.3,14.1,36.66,39.9,4,6.02,8.0,20.8,71.2,5,44.2
2026-07-09,2026-07-10 01:50:00,Before,74.1,16.9,36.33,55.5,0,6.33,23.2,21.1,55.7,6,49.3
2026-07-09,2026-07-10 02:10:00,Before,71.3,17.1,36.44,36.1,3,6.11,21.3,18.6,60.0,5,50.4
2026-07-09,2026-07-10 02:30:00,Before,70.0,12.1,36.45,49.9,5,5.91,12.8,18.1,69.0,5,44.8
2026-07-09,2026-07-10 02:50:00,Before,59.3,16.8,36.92,53.9,1,5.69,19.1,22.0,58.9,4,50.0
2026-07-09,2026-07-10 03:10:00,Before,68.6,17.7,36.78,55.1,3,6.83,19.4,18.7,61.9,4,57.2
2026-07-09,2026-07-10 03:30:00,Before,68.6,15.8,36.68,63.3,4,6.68,13.5,22.8,63.7,4,47.4
2026-07-09,2026-07-10 03:50:00,Before,64.3,14.5,36.81,46.6,2,5.79,22.3,21.5,56.2,6,42.4
2026-07-09,2026-07-10 04:10:00,Before,70.0,13.9,36.82,49.5,2,6.45,13.5,22.1,64.4,3,59.1
